Имя товара;Цена;Ссылка
Помело Красное ~1 кг;179.99;https://kuper.ru/products/17047407-pomelo-krasnoe-1-kg-cf7c783
Яблоки красные;84.5;https://kuper.ru/products/16182376-yabloki-krasnye-f699018
Лонган 150 г;169.99;https://kuper.ru/products/15887622-longan-150-g-9c4549c
Набор зелени укроп и лук зеленый 70 г;82.99;https://kuper.ru/products/40463596-nabor-zeleni-ukrop-i-luk-zelenyy-70-g
Набор зелени укроп и петрушка 70 г;82.99;https://kuper.ru/products/40367775-nabor-zeleni-ukrop-i-petrushka-70-g-65019c9
Салат листовой в горшочке 80 г;89;https://kuper.ru/products/16182377-salat-listovoy-v-gorshochke-80-g-4244eff
Сельдерей стебель 250 г;144.99;https://kuper.ru/products/15642206-sel-derey-stebel-250-g-604152c
Зелень ассорти лук зеленый-петрушка-укроп 100 г;92.99;https://kuper.ru/products/15573365-zelen-assorti-luk-zelenyy-petrushka-ukrop-100-g-a3352cc
Капуста пекинская ~1,6 кг;239.98;https://kuper.ru/products/15176505-kapusta-pekinskaya-1-6-kg-42e5188
Укроп 100 г;89.99;https://kuper.ru/products/15089214-ukrop-100-g-4b7e49e
Петрушка 100 г;89.99;https://kuper.ru/products/15089212-petrushka-100-g-40e225a
Салат Фриллис резаный 100 г;144.99;https://kuper.ru/products/15050459-salat-frillis-rezanyy-100-g-07e3fa6
Салат Айсберг;164.99;https://kuper.ru/products/51659-salat-aysberg-c433888
Смесь лесных грибов Green Ribbon 300 г;279.99;https://kuper.ru/products/34641453-smes-lesnyh-gribov-green-ribbon-300-g
Белые грибы Green Ribbon быстрозамороженные резаные 300 г;399.99;https://kuper.ru/products/33617000-belye-griby-green-ribbon-bystrozamorozhennye-rezanye-300-g-151fed2
Грибы Вешенки 300 г;159.99;https://kuper.ru/products/15190019-griby-veshenki-300-g-ccf4316
Грибы Шампиньоны Королевские 300 г;189.99;https://kuper.ru/products/15176465-griby-shampin-ony-korolevskie-300-g-55dd3bd
Сушеные грибы Экопродукт Ассорти 50 г;229.99;https://kuper.ru/products/15170151-sushenye-griby-ekoprodukt-assorti-50-g
Шампиньоны 250 г;149;https://kuper.ru/products/156922-shampin-ony-250-g-c8513a4
Шампиньоны 400 г;175;https://kuper.ru/products/116345-shampin-ony-400-g-7fb758e
Шампиньоны 4 Сезона нарезанные быстрозамороженные;149;https://kuper.ru/products/66825-shampin-ony-4-sezona-narezannye-bystrozamorozhennye
Арахис Семушка жареный соленый 150 г;129.99;https://kuper.ru/products/66157-arahis-semushka-zharenyy-solenyy-150-g-3d59154
Фруктово-ореховая смесь Семушка 150 г;259.99;https://kuper.ru/products/73397-fruktovo-orehovaya-smes-semushka-150-g-1cfa5d2
Семечки тыквенные Джинн жареные 100 г;129.99;https://kuper.ru/products/332422-semechki-tykvennye-dzhinn-zharenye-100-g-52d60fe
Клюква сушеная Семушка без косточки 150 г;229.99;https://kuper.ru/products/111296-klyukva-sushenaya-semushka-bez-kostochki-150-g-2b957d9
Семечки подсолнечные Джинн Солнечный великан жареные соленые 200 г;199.99;https://kuper.ru/products/1378673-semechki-podsolnechnye-dzhinn-solnechnyy-velikan-zharenye-solenye-200-g-0816b60
Смесь семечек и орехов Solo Nina арахиса и кешью с тыквой 70 г;79.99;https://kuper.ru/products/25938003-smes-semechek-i-orehov-solo-nina-arahisa-i-kesh-yu-s-tykvoy-70-g
Грецкий орех Семушка Чилийский сушеный 80 г;269.99;https://kuper.ru/products/863601-gretskiy-oreh-semushka-chiliyskiy-sushenyy-80-g-41ec701
Чипсы яблочные Яблоков из кисло-сладких яблок 25 г;103.99;https://kuper.ru/products/99448-chipsy-yablochnye-yablokov-iz-kislo-sladkih-yablok-25-g-4722ca7
Семечки от Мартина полосатые суперсоленые 150 г;129.99;https://kuper.ru/products/24071995-semechki-ot-martina-polosatye-supersolenye-150-g-f84debb
Фруктово-ореховая смесь Premiere of Taste кешью и вишня 170 г;249.99;https://kuper.ru/products/20560205-fruktovo-orehovaya-smes-premiere-of-taste-kesh-yu-i-vishnya-170-g
Смесь фруктово-ягодная чай замороженная 195 г;299.99;https://kuper.ru/products/48489373-smes-fruktovo-yagodnaya-chay-zamorozhennaya-195-g
Овощная смесь Бондюэль Крем-суп с шампиньонами замороженная 350 г;199.99;https://kuper.ru/products/21542401-ovoschnaya-smes-bondyuel-krem-sup-s-shampin-onami-zamorozhennaya-350-g
Клюква Premiere of Taste замороженная 300 г;229.99;https://kuper.ru/products/31068537-klyukva-premiere-of-taste-zamorozhennaya-300-g
Овощная смесь Бондюэль Мексиканская замороженная 400 г;199.99;https://kuper.ru/products/19310137-ovoschnaya-smes-bondyuel-meksikanskaya-zamorozhennaya-400-g
Смесь фруктово-ягодная Чайный напиток облепиха-лимон-пряности замороженная 50 г;109.99;https://kuper.ru/products/21663687-smes-fruktovo-yagodnaya-chaynyy-napitok-oblepiha-limon-pryanosti-zamorozhennaya-50-g-4bf419c
Овощная смесь Мираторг Киноа с овощами и базиликом замороженная 400 г;329.99;https://kuper.ru/products/89372-ovoschnaya-smes-miratorg-kinoa-s-ovoschami-i-bazilikom-zamorozhennaya-400-g-ed643ee
Манго Premiere of Taste кео кубики замороженное 300 г;199.99;https://kuper.ru/products/20996942-mango-premiere-of-taste-keo-kubiki-zamorozhennoe-300-g
Овощная смесь Vитамин мексиканская замороженная 400 г;149;https://kuper.ru/products/52417-ovoschnaya-smes-vitamin-meksikanskaya-zamorozhennaya-400-g-51018e0
Клубника замороженная;140.5;https://kuper.ru/products/15176365-klubnika-zamorozhennaya-4e1bac2
Смесь 4 Сезона овощная Овощи по-деревенски замороженная 400 г;159.99;https://kuper.ru/products/68659-smes-4-sezona-ovoschnaya-ovoschi-po-derevenski-zamorozhennaya-400-g-77ac23f
Ассорти Green Ribbon корнишоны-черри-патиссоны консервированное 680 г;189.99;https://kuper.ru/products/49149669-assorti-green-ribbon-kornishony-cherri-patissony-konservirovannoe-680-g
Икра кабачковая Кухмастер 400 г;84.99;https://kuper.ru/products/209715-ikra-kabachkovaya-kuhmaster-400-g-2a761dd
Кукуруза Federici молодая в початках маринованная 340 г;229.99;https://kuper.ru/products/21533865-kukuruza-federici-molodaya-v-pochatkah-marinovannaya-340-g-e8c6c8e
Аппетитка Пиканта с нежно-острым вкусом 360 г;119.99;https://kuper.ru/products/21760819-appetitka-pikanta-s-nezhno-ostrym-vkusom-360-g-7503c92
Релиш Дядя Ваня с огурцами и горчицей 350 г;209.99;https://kuper.ru/products/201289-relish-dyadya-vanya-s-ogurtsami-i-gorchitsey-350-g-cd2128e
Перцы Дядя Ваня Бургасы сладкие 680 г;209.99;https://kuper.ru/products/417873-pertsy-dyadya-vanya-burgasy-sladkie-680-g-e78a50c
Икра Дядя Ваня По-балкански из баклажанов 460 г;269.99;https://kuper.ru/products/105008-ikra-dyadya-vanya-po-balkanski-iz-baklazhanov-460-g-7755ce2
Закусочка Дядя Ваня Мелитопольская 460 г;179.99;https://kuper.ru/products/24342-zakusochka-dyadya-vanya-melitopol-skaya-460-g-601dd37
Фасоль Бондюэль красная 400 г;153.99;https://kuper.ru/products/11752-fasol-bondyuel-krasnaya-400-g-44d4435
Кукуруза Бондюэль молодая 340 г;149.99;https://kuper.ru/products/92965-kukuruza-bondyuel-molodaya-340-g
Десерт BioNergy Яблоко банан 140 г;69.99;https://kuper.ru/products/1147065-desert-bionergy-yabloko-banan-140-g-859ad32
Ананас Lorado кольца в сиропе 565 г;229.99;https://kuper.ru/products/1485513-ananas-lorado-kol-tsa-v-sirope-565-g
Пюре BioNergy груша-банан-манго 140 г;69.99;https://kuper.ru/products/21155058-pyure-bionergy-grusha-banan-mango-140-g
Десерт фруктовый Сила Традиции яблоко-банан 100 г х 2 шт;89.99;https://kuper.ru/products/20823096-desert-fruktovyy-sila-traditsii-yabloko-banan-100-g-h-2-sht-be736f6
Десерт фруктовый Сила Традиции яблоко-клубника 100 г х 2 шт;59.99;https://kuper.ru/products/20823095-desert-fruktovyy-sila-traditsii-yabloko-klubnika-100-g-h-2-sht-0643d83
Личи Premiere of Taste без косточек в сиропе 580 г;249.99;https://kuper.ru/products/20295357-lichi-premiere-of-taste-bez-kostochek-v-sirope-580-g
Консервированное ассорти Магнит Коктейль тропический 425 г;159.99;https://kuper.ru/products/20295356-konservirovannoe-assorti-magnit-kokteyl-tropicheskiy-425-g
Ананас Premiere of Taste кольца в собственном соку 425 г;189.99;https://kuper.ru/products/20295355-ananas-premiere-of-taste-kol-tsa-v-sobstvennom-soku-425-g
Клубника Магнит в сиропе 410 г;109.99;https://kuper.ru/products/18117414-klubnika-magnit-v-sirope-410-g
Абрикосы Магнит половинки в сиропе 410 г;119.99;https://kuper.ru/products/15177222-abrikosy-magnit-polovinki-v-sirope-410-g
